Time	Roll
0:01:29.056	-0.765
0:01:29.062	-0.8925
0:01:29.073	-0.7725
0:01:29.087	-0.7425
0:01:29.115	-0.24
0:01:29.115	-0.48
0:01:29.139	1.5975
0:01:29.139	0.375
0:01:29.158	2.5425
0:01:29.178	-1.32
0:01:29.195	-2.82
0:01:29.213	-1.44
0:01:29.218	-0.3525
0:01:29.248	-1.05
0:01:29.267	-1.1475
0:01:29.272	-1.065
0:01:29.298	-1.0125
0:01:29.316	-1.02
0:01:29.327	-1.02
0:01:29.358	-1.035
0:01:29.374	-1.0575
0:01:29.385	-1.095
0:01:29.421	-1.065
0:01:29.426	-1.1625
0:01:29.456	-1.2375
0:01:29.473	-1.3875
0:01:29.478	-1.395
0:01:29.505	-1.485
0:01:29.528	-1.5225
0:01:29.544	-1.275
0:01:29.566	-0.645
0:01:29.583	0.42
0:01:29.595	1.68
0:01:29.614	3.3
0:01:29.620	4.4475
0:01:29.636	3.39
0:01:29.645	0.8925
0:01:29.657	1.47
0:01:29.680	0.8025
0:01:29.687	-0.9975
0:01:29.720	-2.835
0:01:29.727	-3.8475
0:01:29.737	-2.7825
0:01:29.764	-1.9575
0:01:29.782	-1.62
0:01:29.797	-1.2825
0:01:29.814	0.6975
0:01:29.829	2.925
0:01:29.847	5.385
0:01:29.851	5.985
0:01:29.873	2.805
0:01:29.891	1.845
0:01:29.896	2.31
0:01:29.910	1.245
0:01:29.937	-1.68
0:01:29.954	-3.9225
0:01:29.960	-5.13
0:01:29.971	-1.59
0:01:29.986	0.06
0:01:30.005	0.81
0:01:30.011	-0.1725
0:01:30.038	-2.13
0:01:30.038	-3.2025
0:01:30.062	1.125
0:01:30.062	-0.33
0:01:30.074	2.37
0:01:30.088	3.0525
0:01:30.112	3.1125
0:01:30.117	2.9325
0:01:30.140	2.22
0:01:30.140	1.4475
0:01:30.160	-1.6425
0:01:30.177	-2.4975
0:01:30.195	-2.5425
0:01:30.216	-2.5875
0:01:30.228	-2.6175
0:01:30.248	-2.16
0:01:30.271	-1.7625
0:01:30.299	-1.1475
0:01:30.321	-1.1625
0:01:30.326	-0.8625
0:01:30.373	4.44
0:01:30.373	2.9925
0:01:30.389	5.4975
0:01:30.408	2.43
0:01:30.428	2.1525
0:01:30.555	-0.7575
0:01:30.585	-1.65
0:01:30.695	-1.185
0:01:30.695	-1.395
0:01:30.695	-1.47
0:01:30.727	-0.9675
0:01:30.747	-1.035
0:01:30.755	-1.0725
0:01:30.773	-1.035
0:01:30.803	-0.6
0:01:30.809	0.6525
0:01:30.830	2.025
0:01:30.847	5.2875
0:01:30.847	3.9825
0:01:30.867	2.9625
0:01:30.899	2.19
0:01:30.899	1.905
0:01:30.915	0.8625
0:01:30.933	-2.7075
0:01:30.957	-4.1475
0:01:30.962	-2.355
0:01:30.998	-0.93
0:01:30.998	-2.115
0:01:31.004	-2.7525
0:01:31.014	-1.1625
0:01:31.044	-0.405
0:01:31.044	-0.9375
0:01:31.064	-0.645
0:01:31.093	-0.3375
0:01:31.113	-0.315
0:01:31.120	0.0225
0:01:31.151	2.0025
0:01:31.169	4.9125
0:01:31.169	3.66
0:01:31.180	3.165
0:01:31.191	2.1225
0:01:31.207	1.9575
0:01:31.226	1.8825
0:01:31.244	1.8375
0:01:31.263	1.3275
0:01:31.287	-3.5325
0:01:31.297	-4.785
0:01:31.314	-1.815
0:01:31.346	0.0225
0:01:31.346	-1.965
0:01:31.363	-0.8025
0:01:31.363	-3.18
0:01:31.381	0.6675
0:01:31.393	1.4925
0:01:31.404	0.9675
0:01:31.424	-1.8825
0:01:31.437	-0.03
0:01:31.453	0.4575
0:01:31.465	-1.5075
0:01:31.477	-1.9575
0:01:31.496	-0.285
0:01:31.515	-1.59
0:01:31.536	-0.3225
0:01:31.551	-0.5625
0:01:31.588	-0.8925
0:01:31.594	0.0375
0:01:31.616	-1.26
0:01:31.637	-0.3
0:01:31.649	-0.7725
0:01:31.674	-0.7125
0:01:31.696	-0.7725
0:01:31.713	-0.84
0:01:31.731	-0.9
0:01:31.751	-0.96
0:01:31.764	-0.9975
0:01:31.781	-1.05
0:01:31.806	-1.0875
0:01:31.838	-1.1475
0:01:31.838	-1.185
0:01:31.863	-1.2375
0:01:31.888	-1.29
0:01:31.907	-1.3425
0:01:31.915	-1.365
0:01:31.936	-1.47
0:01:31.952	-1.455
0:01:31.989	-1.485
