Time	Roll
0:01:21.851	-6.532
0:01:21.898	-5.4165
0:01:21.964	-4.485
0:01:22.007	-3.7145
0:01:22.056	-3.0705
0:01:22.117	-2.53
0:01:22.162	-2.0585
0:01:22.226	-1.7135
0:01:22.271	-1.403
0:01:22.321	-1.242
0:01:22.380	-1.035
0:01:22.433	-0.8625
0:01:22.492	-0.713
0:01:22.528	0.161
0:01:22.536	0.345
0:01:22.585	0.529
0:01:22.634	0.4025
0:01:22.694	0.3335
0:01:22.742	0.276
0:01:22.803	0.2415
0:01:22.854	0.1955
0:01:22.898	0.161
0:01:22.963	0.1265
0:01:23.006	0.1265
0:01:23.072	0.1035
0:01:23.117	0.092
0:01:23.164	0.092
0:01:23.229	0.0805
0:01:23.256	0.092
0:01:23.322	0.069
0:01:23.381	0.069
0:01:23.445	0.069
0:01:23.474	0.069
0:01:23.508	0.0575
0:01:23.519	0.0575
0:01:23.603	0.046
0:01:23.646	0.046
0:01:23.698	0.046
0:01:23.756	0.046
0:01:23.807	0.046
0:01:23.850	0.023
0:01:23.920	0.0115
0:01:23.940	0
0:01:24.008	-0.0115
0:01:24.071	-0.023
0:01:24.118	-0.0115
0:01:24.164	-0.0115
0:01:24.214	-0.0115
0:01:24.274	0
0:01:24.323	0
0:01:24.332	0
0:01:24.382	-0.0115
0:01:24.430	0
0:01:24.492	0
0:01:24.538	0
0:01:24.599	-0.0115
0:01:24.648	0.0115
0:01:24.696	0.0115
0:01:24.759	0.023
0:01:24.788	0.023
0:01:24.867	0.023
0:01:24.914	0.0345
0:01:24.959	0.0345
0:01:25.027	0.0345
0:01:25.070	0.0345
0:01:25.133	0.0345
0:01:25.180	0.0345
0:01:25.226	0.0345
0:01:25.286	0.0345
0:01:25.339	0.0345
0:01:25.398	0.023
0:01:25.447	0
0:01:25.492	0
0:01:25.540	0
0:01:25.549	0
0:01:25.600	0.0115
0:01:25.650	-0.0115
0:01:25.710	-0.0115
0:01:25.758	-0.023
0:01:25.822	-0.023
0:01:25.871	-0.023
0:01:25.930	-0.023
0:01:25.960	0.0345
0:01:26.022	0.046
0:01:26.088	0.0115
0:01:26.132	0.046
0:01:26.179	0.0575
0:01:26.244	0.046
0:01:26.271	0.0345
0:01:26.334	0.046
0:01:26.400	0.0345
0:01:26.445	0.046
0:01:26.490	0.046
0:01:26.557	0.046
0:01:26.599	0.046
0:01:26.666	0.0575
0:01:26.710	0.046
0:01:26.758	0.0345
0:01:26.821	0
0:01:26.867	-0.0115
0:01:26.929	0
0:01:26.976	-0.0115
0:01:27.025	0
0:01:27.072	0.0115
0:01:27.131	0
0:01:27.182	0
0:01:27.242	0
0:01:27.291	0
0:01:27.350	0.0345
0:01:27.401	0.046
0:01:27.445	0.046
0:01:27.510	0.0345
0:01:27.539	0.023
0:01:27.618	0.0345
0:01:27.663	0.0345
0:01:27.708	0.0345
0:01:27.774	0.023
0:01:27.822	0.023
0:01:27.887	0.023
0:01:27.930	0.023
0:01:27.980	0.0115
0:01:28.038	0.0115
0:01:28.088	0.0115
0:01:28.131	0.0115
0:01:28.197	0.0115
0:01:28.241	0
0:01:28.291	0
0:01:28.351	0.0115
0:01:28.397	0.023
0:01:28.458	0.0345
0:01:28.509	0.0115
0:01:28.554	0.0115
0:01:28.620	0.0115
0:01:28.662	0.0115
0:01:28.730	0
0:01:28.755	0.0115
0:01:28.818	0.023
0:01:28.885	0.0115
0:01:28.929	0.0115
0:01:28.993	0.023
0:01:29.025	-0.046
0:01:29.101	-0.0345
0:01:29.124	-0.0805
0:01:29.182	-0.092
0:01:29.236	-0.1035
0:01:29.285	-0.092
0:01:29.345	-0.0345
0:01:29.391	0.046
0:01:29.443	0.276
0:01:29.513	0.207
0:01:29.554	0.069
0:01:29.599	-0.069
0:01:29.666	0.1495
0:01:29.705	0.161
0:01:29.770	0.368
0:01:29.834	0.759
0:01:29.878	0.5175
0:01:29.922	0.6325
0:01:29.992	0.0345
0:01:30.026	-0.1035
0:01:30.098	-0.0805
0:01:30.128	-0.0115
0:01:30.182	0.299
0:01:30.257	0.483
0:01:30.288	0.3105
0:01:30.342	0.23
0:01:30.394	2.369
0:01:30.445	3.6455
0:01:30.527	6.325
0:01:30.567	5.3705
0:01:30.617	3.956
0:01:30.679	2.438
0:01:30.711	1.564
0:01:30.791	0.828
0:01:30.814	0.6325
0:01:30.874	0.3105
0:01:30.945	0.161
0:01:30.984	-0.0345
0:01:31.030	0
0:01:31.080	0.0115
0:01:31.139	0.0115
0:01:31.231	-0.069
0:01:31.248	-0.0575
0:01:31.333	-0.046
0:01:31.352	-0.092
0:01:31.410	-0.0115
0:01:31.482	0.0115
0:01:31.503	0.0345
0:01:31.558	-0.0345
0:01:31.605	-0.0575
0:01:31.661	-0.092
0:01:31.740	-0.1035
0:01:31.793	-0.115
0:01:31.825	-0.0805
0:01:31.874	-0.046
0:01:31.923	-0.0345
0:01:31.976	0.046
0:01:32.029	0.046
0:01:32.112	0.0115
0:01:32.137	-0.046
0:01:32.182	-0.092
0:01:32.238	-0.1495
0:01:32.309	-0.069
0:01:32.342	-0.0575
0:01:32.395	0.0115
0:01:32.449	-0.0345
0:01:32.513	-0.0345
0:01:32.555	-0.0115
0:01:32.609	-0.046
0:01:32.671	-0.1035
0:01:32.721	-0.1495
0:01:32.788	-0.1495
0:01:32.823	-0.161
0:01:32.880	-0.161
0:01:32.938	-0.138
0:01:32.977	-0.1265
0:01:33.038	-0.092
0:01:33.093	-0.1035
0:01:33.142	-0.0575
0:01:33.209	-0.115
0:01:33.278	-0.1035
0:01:33.294	-0.092
0:01:33.345	-0.115
0:01:33.405	-0.1035
0:01:33.455	-0.046
0:01:33.513	-0.138
0:01:33.559	-0.138
0:01:33.614	-0.138
0:01:33.669	-0.0345
0:01:33.721	-0.1265
0:01:33.772	-0.092
0:01:33.851	-0.161
0:01:33.874	-0.161
0:01:33.960	-0.1725
0:01:33.999	-0.161
0:01:34.071	-0.161
0:01:34.090	-0.161
0:01:34.188	-0.161
0:01:34.205	-0.161
0:01:34.244	-0.1495
0:01:34.298	-0.069
0:01:34.353	-0.069
0:01:34.439	-0.115
0:01:34.458	-0.1035
0:01:34.510	-0.092
0:01:34.563	0
0:01:34.615	-0.0805
0:01:34.687	-0.092
0:01:34.741	-0.0805
0:01:34.772	-0.092
0:01:34.827	-0.0805
0:01:34.877	-0.092
0:01:34.931	-0.092
0:01:34.994	-0.092
0:01:35.037	-0.092
0:01:35.087	-0.092
0:01:35.143	-0.092
0:01:35.199	-0.092
0:01:35.247	-0.207
0:01:35.303	-0.1035
0:01:35.356	-0.1035
0:01:35.409	-0.1035
0:01:35.474	-0.1035
0:01:35.516	-0.092
0:01:35.575	-0.1035
0:01:35.634	-0.0805
0:01:35.673	-0.092
0:01:35.724	-0.0575
0:01:35.776	-0.0575
0:01:35.828	-0.069
0:01:35.895	-0.0575
0:01:35.937	-0.0805
0:01:35.992	-0.0805
0:01:36.037	-0.0575
0:01:36.089	-0.092
0:01:36.143	-0.0805
0:01:36.202	-0.0805
0:01:36.270	-0.092
0:01:36.338	-0.115
0:01:36.381	-0.1495
0:01:36.413	-0.115
0:01:36.470	-0.0805
0:01:36.522	-0.115
0:01:36.616	-0.115
0:01:36.649	-0.1265
0:01:36.675	-0.161
0:01:36.743	-0.0805
0:01:36.778	-0.069
0:01:36.838	-0.092
0:01:36.908	-0.092
0:01:36.944	-0.115
0:01:36.991	-0.115
0:01:37.044	-0.1035
0:01:37.104	-0.1265
0:01:37.201	-0.1265
0:01:37.201	-0.092
0:01:37.260	-0.1035
0:01:37.319	-0.092
0:01:37.370	-0.1035
0:01:37.394	-0.1035
0:01:37.419	-0.1035
0:01:37.463	-0.092
0:01:37.526	-0.092
0:01:37.574	-0.092
0:01:37.667	-0.0805
0:01:37.691	-0.1035
0:01:37.735	-0.1035
0:01:37.833	-0.0115
0:01:37.833	-0.069
0:01:37.908	-0.0805
0:01:37.980	-0.092
0:01:38.013	-0.069
0:01:38.048	-0.1035
0:01:38.149	-0.1955
0:01:38.209	-0.0805
0:01:38.209	-0.069
0:01:38.255	-0.1035
0:01:38.368	-0.092
0:01:38.368	-0.1035
0:01:38.417	-0.1265
0:01:38.510	-0.092
0:01:38.540	-0.0805
0:01:38.576	-0.0805
0:01:38.667	0
0:01:38.690	-0.069
0:01:38.838	-0.046
0:01:38.838	-0.046
0:01:38.838	-0.0575
0:01:38.912	-0.0345
0:01:38.986	0
